network_type,target_kappa_eff,realized_kappa_eff,mechanism,seed,init_mode,noise_bare,noise_eff,omega_std,residual_kappa,initial_CI,mean_CI,final_CI,min_CI,pct_time_ge_0.75,success,delta_mean_CI_vs_none,delta_final_CI_vs_none,effect_isolated
lattice,0.05,0.05,residual_meanfield,17,random,0.01,0.01,0.02,0.2,0.163877,0.234989,0.320396,0.163877,0.0,False,0.060196,0.133718,True
lattice,0.1,0.1,none,3,random,0.01,0.01,0.02,0.0,0.071065,0.062291,0.055407,0.055407,0.0,False,0.0,0.0,False
lattice,0.1,0.1,noise_suppression,3,random,0.01,7.297e-05,0.02,0.0,0.071065,0.062369,0.055416,0.055416,0.0,False,7.8e-05,9e-06,False
lattice,0.1,0.1,freq_narrowing,3,random,0.01,0.01,0.00291894,0.0,0.071065,0.066655,0.062886,0.062886,0.0,False,0.004364,0.007479,False
lattice,0.1,0.1,residual_meanfield,3,random,0.01,0.01,0.02,0.2,0.071065,0.083129,0.098652,0.071065,0.0,False,0.020838,0.043245,True
lattice,0.1,0.1,none,5,random,0.01,0.01,0.02,0.0,0.033844,0.032312,0.030487,0.030478,0.0,False,0.0,0.0,False
lattice,0.1,0.1,noise_suppression,5,random,0.01,7.297e-05,0.02,0.0,0.033844,0.032109,0.03028,0.03028,0.0,False,-0.000203,-0.000207,False
lattice,0.1,0.1,freq_narrowing,5,random,0.01,0.01,0.00291894,0.0,0.033844,0.037532,0.03993,0.033844,0.0,False,0.00522,0.009443,False
lattice,0.1,0.1,residual_meanfield,5,random,0.01,0.01,0.02,0.2,0.033844,0.043786,0.05608,0.033844,0.0,False,0.011474,0.025593,True
lattice,0.1,0.1,none,12,random,0.01,0.01,0.02,0.0,0.133231,0.162964,0.188957,0.133231,0.0,False,0.0,0.0,False
lattice,0.1,0.1,noise_suppression,12,random,0.01,7.297e-05,0.02,0.0,0.133231,0.163205,0.189329,0.133231,0.0,False,0.000241,0.000372,False
lattice,0.1,0.1,freq_narrowing,12,random,0.01,0.01,0.00291894,0.0,0.133231,0.160206,0.183893,0.133231,0.0,False,-0.002758,-0.005064,False
lattice,0.1,0.1,residual_meanfield,12,random,0.01,0.01,0.02,0.2,0.133231,0.223648,0.329364,0.133231,0.0,False,0.060684,0.140407,True
lattice,0.1,0.1,none,17,random,0.01,0.01,0.02,0.0,0.163877,0.187533,0.21207,0.163877,0.0,False,0.0,0.0,False
